Timeperiod,Direction,WeekDay,Hour,Count
Before times,To City,Tuesday,15,21.9375
Before times,To City,Tuesday,16,56
Before times,To City,Tuesday,17,57.6875
Before times,To City,Tuesday,18,17.1875
Before times,To City,Tuesday,19,8.8125
Before times,To City,Tuesday,20,4.625
Before times,To City,Tuesday,21,2
Before times,To City,Tuesday,22,0.8125
Before times,To City,Tuesday,23,0.25
Before times,To City,Wednesday,0,0.0625
Before times,To City,Wednesday,1,0.1875
Before times,To City,Wednesday,2,0
Before times,To City,Wednesday,3,0
Before times,To City,Wednesday,4,0
Before times,To City,Wednesday,5,0.0625
Before times,To City,Wednesday,6,1.875
Before times,To City,Wednesday,7,4.25
Before times,To City,Wednesday,8,8.3125
Before times,To City,Wednesday,9,5.375
Before times,To City,Wednesday,10,8.125
Before times,To City,Wednesday,11,9.6875
Before times,To City,Wednesday,12,13.3125
Before times,To City,Wednesday,13,11.1875
Before times,To City,Wednesday,14,15.25
Before times,To City,Wednesday,15,22.25
Before times,To City,Wednesday,16,49.5625
Before times,To City,Wednesday,17,52.125
Before times,To City,Wednesday,18,17.3125
Before times,To City,Wednesday,19,11.5625
Before times,To City,Wednesday,20,4.8125
Before times,To City,Wednesday,21,2.0625
Before times,To City,Wednesday,22,1.1875
Before times,To City,Wednesday,23,0.4375
Before times,To City,Thursday,0,0.06666666666666667
Before times,To City,Thursday,1,0.13333333333333333
Before times,To City,Thursday,2,0
Before times,To City,Thursday,3,0
Before times,To City,Thursday,4,0.06666666666666667
Before times,To City,Thursday,5,0.13333333333333333
Before times,To City,Thursday,6,2.533333333333333
Before times,To City,Thursday,7,5.2
Before times,To City,Thursday,8,6.266666666666667
Before times,To City,Thursday,9,6.4
Before times,To City,Thursday,10,7.6
Before times,To City,Thursday,11,11.533333333333333
Before times,To City,Thursday,12,13.2
Before times,To City,Thursday,13,11.2
Before times,To City,Thursday,14,12.4
Before times,To City,Thursday,15,20
Before times,To City,Thursday,16,48
Before times,To City,Thursday,17,47.8
Before times,To City,Thursday,18,17
Before times,To City,Thursday,19,11.533333333333333
Before times,To City,Thursday,20,4.333333333333333
Before times,To City,Thursday,21,1.8666666666666667
Before times,To City,Thursday,22,0.8
