Date,cases_per_arrival,fit,lwr,upr
2020-05-02,0,0.019331226010919713,0.0016746127885294772,0.22315385481643893
2020-05-03,0,0.01667189025749029,0.0013103660494221626,0.21211777035918264
2020-05-04,0,0.014631396985650972,0.00104857704393307,0.20416027509885185
2020-05-05,0,0.013079310774977154,8.593600539236159e-4,0.19906483850090476
2020-05-06,0,0.011915705680334355,7.221353821545759e-4,0.19661692996779404
2020-05-07,0,0.011064975783042797,6.227621791678866e-4,0.19659782365543657
2020-05-08,0,0.010470617774117313,5.515494646488745e-4,0.19877425978729957
2020-05-09,0,0.010091006225210055,5.019006787735706e-4,0.2028855726715751
2020-05-10,0,0.009896068830639388,4.6940349318966393e-4,0.20863112380201793
2020-05-11,0,0.00986472692293713,4.512287769738159e-4,0.2156618598591011
2020-05-12,0,0.009982964865978593,4.4574429554573245e-4,0.22358017480256945
2020-05-13,0,0.010242410157567276,4.522796461251851e-4,0.23195155195376707
2020-05-14,0,0.010639331900923579,4.7100093991805583e-4,0.24032942124850892
2020-05-15,0,0.011173991720576903,5.028690358956939e-4,0.2482914676763267
2020-05-16,0,0.011850304452024727,5.496656531506671e-4,0.2554820640524619
2020-05-17,0,0.01267578423912581,6.140789899533311e-4,0.26165283083383356
2020-05-18,0,0.013661764504115553,6.998458140448332e-4,0.26669275663332753
2020-05-19,0,0.014823887987431703,8.11951470258531e-4,0.270641366033801
2020-05-20,0,0.01618286667961955,9.568939443976165e-4,0.27368254915146584
2020-05-21,0,0.01776551219978287,0.0011430240047153868,0.2761214308873783
2020-05-22,0,0.019606035876071397,0.001380981115515126,0.27835039773908377
2020-05-23,0,0.021747614258023,0.0016842539284115735,0.28081200698864606
2020-05-24,0,0.024244208091931202,0.002069902637562919,0.28396583266201847
2020-05-26,0,0.03058476402727389,0.0031803877586918036,0.29412381809342597
2020-05-28,0,0.03936061840810963,0.004969757068735393,0.3117372257922144
2020-05-29,0,0.0449809515805865,0.006247351266526408,0.32386301310379745
2020-05-30,0,0.051643752703687686,0.007883932477414713,0.3382927493303739
2020-05-31,0,0.05954740912211562,0.009987629973877903,0.35502856457745313
2020-06-01,0,0.06891500014440377,0.012696403437583591,0.3740647710393696
