SA22018_V1_00,SA22018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM
257100,Carterton South,2.93664511,2.93664511
257200,Gladstone (Carterton District),621.3329629,621.3329629
257300,Tauherenikau,337.7056361,337.7056361
257400,Kahutara,457.400191,464.825858
257500,Featherston,3.18171315,3.18171315
257600,Inland water Lake Wairarapa,0,63.48224661
257700,Greytown,5.07015371,5.07015371
257800,Aorangi Forest,1579.079806,1579.079806
257900,Martinborough,4.49942023,4.49942023
258100,Three Kings Islands,4.96643395,4.96643395
258900,Islands Bay of Plenty Region,24.8856882,24.8856882
259800,Bare Island,0.13162933,0.13162933
300300,Golden Bay/Mohua,2249.834733,2249.834733
300500,Takaka,12.34227073,12.34227073
300600,Pohara-Abel Tasman,326.0473597,326.0473597
300700,Takaka Hills,277.4339558,277.4339558
300800,Kaiteriteri-Riwaka,28.56948379,28.56948379
300900,Upper Moutere,445.9658643,445.9658643
301000,Lower Moutere,62.01796388,62.01796388
301100,Motueka North,2.55778061,2.55778061
301200,Motueka West,7.86796618,7.86796618
301300,Motueka East,3.23775618,3.23775618
301500,Golden Downs,1819.627228,1819.627228
301600,Moutere Hills,98.43495705,98.43495705
301700,Ruby Bay-Mapua,9.7689129,9.7689129
301800,Murchison-Nelson Lakes,3706.007823,3739.513312
302000,Islands Tasman District,15.89191638,15.89191638
302100,Waimea West,59.16674544,59.16674544
302200,Appleby,20.06518761,20.06518761
302300,Wakefield,9.98045844,9.98045844
302400,Richmond West (Tasman District),6.46117722,6.46117722
302500,Wakefield Rural,375.7323301,375.7323301
302600,Brightwater,4.83792451,4.83792451
302700,Hope,7.44446535,7.44446535
302800,Richmond Central (Tasman District),1.15287518,1.15287518
302900,Ben Cooper Park,0.91549518,0.91549518
303000,Richmond South (Tasman District),2.5076217,2.5076217
303100,Wilkes Park,0.881573,0.881573
303200,Templemore,1.42675549,1.42675549
303300,Easby Park,1.12879754,1.12879754
303400,Fairose,1.42105168,1.42105168
303500,Aniseed Valley,57.24760532,57.24760532
303600,Nelson Rural,366.3944029,366.3944029
303800,Marybank,1.00888349,1.00888349
303900,Port Nelson,0.97858114,0.97858114
